note_id,text
about-these-notes,"Hi! I’m [Andy Matuschak](https://andymatuschak.org/). You’ve stumbled upon my working notes. They’re kind of strange, so some context might help.

These notes are mostly written for myself: they’re roughly my thinking environment ([[z5e5qawixcmbtntupvxeoex|Evergreen notes]]; [[zhtevhgzqpu8qhprhumtsuk|My morning writing practice]]). But I’m sharing them publicly as an experiment ([[zcmhnca1ise74mkkyqs5pbz|Work with the garage door up]]). If a note seems confusing or under-explained, it’s probably because I didn’t write it for you! Sorry—that’s sort of an essential tension of this experiment ([[zxdprycxuszbf5m8vm5y1u9|Write notes for yourself by default, disregarding audience]]).

For now, there’s no index or navigational aids: you’ll need to follow a link to some starting point. You might be interested in [[zpktsiu725w9wqcqovpbcxm|§What’s top of mind]].

👋 Andy ([email](mailto:andy@andymatuschak.org), [Twitter](https://twitter.com/andy_matuschak), [main personal site](https://andymatuschak.org/))

PS: My work is made possible by a crowd-funded research grant from my Patreon community. You can [become a member](http://patreon.com/quantumcountry) to support future work, and to read patron-only updates and previews of upcoming projects.

PS: Many people ask, so I’ll just note here: no, I haven’t made this system available for others to use. It’s still an early research environment, and [[zkkb5enrahwfth96h7mijiu|Premature scaling can stunt system iteration]].
"
z5e5qawixcmbtntupvxeoex,"*Evergreen notes* are written and organized to evolve, contribute, and accumulate over time, across projects. This is an unusual way to think about writing notes: [[zkgjqtstkgscaoq271zzkqw|Most people take only transient notes]]. That’s because these practices aren’t about writing notes; they’re about effectively developing insight: [[zaf4onsv9qb38ncsvyezgab|“Better note-taking” misses the point; what matters is “better thinking”]]. When done well, these notes can be quite valuable: [[zr6rrbcfy5rfkiimfnajzkb|Evergreen note-writing as fundamental unit of knowledge work]].

It’s hard to write notes that are worth developing over time. These principles help:

- [[znuaigaxp21eorser1jm9yu|Evergreen notes should be atomic]]
- [[z2hqehqwkdrll9juwfawzzx|Evergreen notes should be concept-oriented]]
- [[zf8xcu4bwxwbmsyp7tmff9i|Evergreen notes should be densely linked]]
- [[z8su3r8xyzyvwrhyddjasj2|Prefer associative ontologies to hierarchical taxonomies]]
- [[zxdprycxuszbf5m8vm5y1u9|Write notes for yourself by default, disregarding audience]]

This concept is of course enormously indebted to the notion of a [[zdcus8a5uxgr8hqygsqp83a|Zettelkasten]]. See [[zqvwwb95vzchcpow3gwy5wi|Similarities and differences between evergreen note-writing and Zettelkasten]].

## Implementing an evergreen note practice

See:

- [[zb74h9cuwroseuqve7jzyco|Write about what you read to internalize texts deeply]]
- [[ztdjzqbkat9paltsk2hfepx|Taxonomy of note types]]
- [[zdxbgewk7msyonq2ngnrf8h|A reading inbox to capture possibly-useful references]]
- [[zup4guzpf33dwkzpiu9n6v5|A writing inbox for transient and incomplete notes]]
- [[zcknixwetdfm1mwdwpwmcxs|Executable strategy for writing]]

---

## References

Ahrens, S. (2017). *How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers*.

> Many students and academic writers think like the early ship owners when it comes to note-taking. They handle their ideas and findings in the way it makes immediate sense: If they read an interesting sentence, they underline it. If they have a comment to make, they write it into the margins. If they have an idea, they write it into their notebook, and if an article seems important enough, they make the effort and write an excerpt. Working like this will leave you with a lot of different notes in many different places. Writing, then, means to rely heavily on your brain to remember where and when these notes were written down.

Luhmann, N. (1992). Communicating with Slip Boxes. In A. Kieserling (Ed.), & M. Kuehn (Trans.), *Universität als Milieu: Kleine Schriften* (pp. 53–61). Retrieved from [http://luhmann.surge.sh/communicating-with-slip-boxes](http://luhmann.surge.sh/communicating-with-slip-boxes)
"
zhtevhgzqpu8qhprhumtsuk,"As part of my [[zsve33d7x1qe5wujojdcm9y|My daily routine]], mornings are often spent writing and revising [[z5e5qawixcmbtntupvxeoex|Evergreen notes]]. This is typically the most challenging work I do all day, so I like to do it when I have the most clarity and focus. It’s not for “note-taking” in a traditional sense—writing down other people’s ideas, or recording things that happened—it’s for developing ideas. (i.e. [[znqv445uecylxvsrvgovsfv|Most people use notes as a bucket for storage or scratch thoughts]] vs. [[z4exkuljdbrbze7pvagxc5a|Evergreen note-writing helps insight accumulate]])

Unless I have something in mind that I’m particularly excited to write about, I usually begin by opening my writing inbox ([[zup4guzpf33dwkzpiu9n6v5|A writing inbox for transient and incomplete notes]]) and flipping through those prompts and incomplete notes. If any strike me, I’ll draft [[z5e5qawixcmbtntupvxeoex|Evergreen notes]] about them. This may happen over multiple days: I may flesh out a note considerably, then run out of steam and leave it in my inbox to finish another day.

If my inbox is relatively low, I’ll get out my memo pad ([[z2iksmfhifvy5a16abv5muw|Pocket memo pad to capture into writing inbox while out]]) and fill my inbox with those notes. I don’t force it: if none of the prompts seem interesting, I’ll archive the ones which seem most boring and move on.

After working through my writing inbox, I’ll focus my attention on my primary creative projects and ask myself prompts like:

- what are the most important unknowns for this project?
- what new ideas am I excited about?
- what are the most interesting things I know about this project?

For these prompts, I’ll use my [[zxrs9fj5bux5fmrqzpxqwus|Daily working log]] as a scratch space, splatting a dozen or so one-liners into a haphazard bulleted list. After emptying my head, I’ll write about any that seem interesting. Usually that leads to rabbit holes which consume the rest of the session. I’ll add promising stragglers to my writing inbox for future days.

If those prompts don’t feel fruitful, I’ll use the time to [[zb74h9cuwroseuqve7jzyco|Write about what you read to internalize texts deeply]]. I’ve usually got a backlog of books and articles I’ve read but for which I haven’t yet written [[z5e5qawixcmbtntupvxeoex|Evergreen notes]]. If the prompts don’t feel fruitful for several days in a row, that’s a sign that I need to shake things up: my inputs aren’t high-variance enough, or I’m not giving myself the right kind of creative space, or I may need to re-evaluate my projects. My writing inbox should always feel like a cornucopia.

I take 5-minute breaks to get up and move around every 25 minutes, but even with those breaks, I usually can’t continue this practice longer than 2-3 hours. Sometimes I can do another session later in the day.
"
zcmhnca1ise74mkkyqs5pbz,"One of my favorite ways that creative people communicate is by “working with their garage door up,” to riff on a passage from Robin Sloan (below). This is the opposite of the Twitter account which mostly posts announcements of finished work: it’s [Screenshot Saturday](https://twitter.com/hashtag/screenshotsaturday); it’s giving a lecture about the problems you’re pondering in the shower; it’s thinking out loud about the ways in which your project doesn’t work at all. It’s so much of Twitch. I want to see the process. I want to see you trim the artichoke. I want to see you choose the color palette. [[zf9ywlhqhfn5rfupapiyqmp|Anti-marketing, after Michael Nielsen]].

I love this kind of communication personally, but I suspect it also creates more invested, interesting followings over the long term. That effect’s probably related to [[zhv89h7dqnrvnvwxhbsgog9|Working on niche, personally-meaningful projects brings weirder, more serendipitous inbounds]].

It’s also a way to avoid the problems described in [[z4ehfvvvhxomgtbudlpdoen|Pitching out corrupts within]]. You’re not pitching. You’re just showing your work, day over day.

[[maggie-appleton|Maggie Appleton]] [argues](https://maggieappleton.com/gathering-structures):

> If you ever needed another reason to learn in public by digital gardening or podcasting or streaming or whathaveyou, add on that people will assume you're more competent than you are. This will get you invites to very cool exclusive events filled with high-achieving, interesting people, even though you have no right to be there. A+ side benefit.  
> This matches my experience.

---

## References

The inspiration from Robin’s original newsletter:  
☄️ Week 43, popular, wide-ranging, functional (link broken as of [[2024-12-17|2024-12-17]])

> I wish starting physical businesses was easier; I wish the path wasn’t so steep, especially in places like the Bay Area; because I think it’s one of the absolute best things a person can do. Among many other things, a physical business enlivens public space, by making the simple, eloquent statement: I am here, working.
> 
> There’s a scientific glassblowing studio north of us; I walk past it on the sidewalk often. By simply existing, and having a nice sign that faces the street, they are doing a small public service every day. We are here, working.
> 
> In the same light industrial complex as the Murray Street Media Lab, there’s a woodworking shop, and the man who runs it always keeps his door propped open. Simple as that. What a delight, every damn day, to ride my bike past that door and peek inside and see all his tools, the boards stacked up for whatever commission he’s undertaking. I am here, working.
> 
> Part of the problem of social media is that there is no equivalent to the scientific glassblowers’ sign, or the woodworker’s open door, or Dafna and Jesse’s sandwich boards. On the internet, if you stop speaking: you disappear. And, by corollary: on the internet, you only notice the people who are speaking nonstop.
> 
> If you could put on magic internet goggles that enabled you to see through this gnarly selection bias and view the composition of reality fairly, correctly—well, just come walk around Emeryville and West Berkeley. It would look like that! All the tumult of Twitter would shrink into a single weird cafe—just a speck, in an enormous city made up entirely of people quietly working.

Interesting to note that in a way, Robin’s looking for [[z4gear5cerwdjprdhu5gy3n|Peripheral vision]] in this aspiration.
"
zxdprycxuszbf5m8vm5y1u9,"Because [[z5e5qawixcmbtntupvxeoex|Evergreen notes]] can be used as part of a strategy for writing public work ([[zcknixwetdfm1mwdwpwmcxs|Executable strategy for writing]]), it’s tempting to “save time” by writing notes in publishable form. That might mean providing all the necessary background to understand some (boring to you) idea, or self-censoring, or adding lots of qualifiers, or spending lots of effort on clarity. Many of these practices can be somewhat useful as part of your own thinking process—for instance, clearer writing usually involves clearer thinking. But I find it substantially increases the overhead and effort in writing, often to the point of producing blockage.

More concretely, this manifests as a common failure mode for me when I’m writing notes as part of explicit preparation for some public writing. I’ll often try to do both jobs at once. That is, I might be writing atomic-style notes ([[znuaigaxp21eorser1jm9yu|Evergreen notes should be atomic]]) but I try to write them *as if* they’re sections in a larger essay or work. Or even just: I try to write things with all the context and clear prose needed for an outsider to understand what I’m talking about. Then I often find that I can’t write anything at all! Better to write at a level where I can produce something, then use that to lever myself upward. ([[znqldkmito9eha9ewygxs7b|Evergreen notes permit smooth incremental progress in writing (“incremental writing”)]])

When it’s a topic I understand well, I can write notes for both myself and an audience simultaneously. But that sometimes produces the false impression that I can pull this off all the time! To avoid that false impression, I’ll write notes for myself “by default,” and only “opt into” writing notes for an audience explicitly.

---

Q. What bad habit do I often fall into when writing evergreen notes in preparation for public writing?  
A. I’ll try to do my public writing as part of my first pass on the notes.

Q. Why do I often find myself stuck when I try to write evergreen notes as publishable prose for an audience?  
A. When a topic is hard enough to distill on its own, the extra cognitive load of considering a reader overwhelms me.
"
zpktsiu725w9wqcqovpbcxm,"Sort of like a [/now page](https://sivers.org/nowff), but with a broader time horizon and focused on what I’m thinking about.

- Expanding and understanding the [[zkpv6qkserdrgqyryvgs2ws|Mnemonic medium]] via [[zdrdgszgufssj49gtbf1djg|Orbit]]
- [[zr6rrbcfy5rfkiimfnajzkb|Evergreen note-writing as fundamental unit of knowledge work]]
	- [[zwwh96de6yzymdcoo37977x|The mnemonic medium can be extended to one’s personal notes]]
- [[zgsgs1uhdogpktvzb5hdt2a|§Enabling environments, games, and the Primer]] / [[z984zzlbg4wrem6hazaovmb|Enacted experiences have incredible potential as a mass medium]]
- [[zppahzykubpyodtgcsiz9rv|Programmable attention]] / [[z9hscgkg2teqgutu3vaew3u|Spaced everything]]
- [[zab9r6nyutyn6pbc4rqy9ay|Timeful text]]
- Taking knowledge work seriously
	- [[zmx9lfuz8sgfduivwzcywt|Athletes and musicians pursue virtuosity in fundamental skills much more rigorously than knowledge workers do]]
		- [[zmbcwovdjsqpnytrrr3phpn|Knowledge work rarely involves deliberate practice]]
		- [[zbmsspm1wffdehxncbcqszp|§Taking knowledge work seriously (Stripe convergence talk, 2019-12-12)]]
- [[zgd1fxbdzd7wnh7nrhravyc|How might we situate tools for thought within intrinsically meaningful contexts?]]
"
zkkb5enrahwfth96h7mijiu,"Particularly in Silicon Valley, when one has a prototype or an inkling that works well, the temptation is to scale it out. Make it work for more people and more use cases, turn it into a platform, make the graphs go up and to the right, etc. This is obviously a powerful playbook, but it should be deployed with careful timing because it tends to freeze the conceptual architecture of the system.

## Why

General infrastructure simply takes time to build. You have to carefully design interfaces, write documentation and tests, and make sure that your systems will handle load. All of that is rival with experimentation, and not just because it takes time to build: it also makes the system much more rigid.

Once you have lots of users with lots of use cases, it’s more difficult to change anything or to pursue radical experiments. You’ve got to make sure you don’t break things for people or else carefully communicate and manage change.

Those same varied users simply consume a great deal of time day-to-day: a fault which occurs for 1% of people will present no real problem in a small prototype, but it’ll be high-priority when you have 100k users.

Once this playbook becomes the primary goal, your incentives change: your goal will naturally become making the graphs go up, rather than answering fundamental questions about your system (contra [[zrhgyadyqdbypztbafyzgtr|Focus on power over scale for transformative system design]]).

## On remaining small

One huge advantage to scaling up is that you’ll get far more feedback for your [[z6jlcobbgh7ukrgtiklcpv2|Insight through making]] process. It’s true that [[z7eq2nvgus5b1rs9cqt18g6|Effective system design requires insights drawn from serious contexts of use]], but it’s possible to create small-scale serious contexts of use which will allow you to answer many core questions about your system. Indeed: technologists often instinctively scale their systems to increase the chances that they’ll get powerful feedback from serious users, but that’s quite a stochastic approach. You can accomplish that goal by carefully structuring your prototyping process. This may be better in the end because [[zt2cna38erscy2nkgw2thsl|Insight through making prefers bricolage to big design up front]]

Eventually, of course, you’ll need to generalize the system to answer certain questions, but at least in terms of research outcomes, it’s best to make scaling *follow* the need expressed by those questions. In that sense, it’s an instrumental end, not an ultimate end.
"
zkgjqtstkgscaoq271zzkqw,"In contrast to [[z5e5qawixcmbtntupvxeoex|Evergreen notes]], [[znqv445uecylxvsrvgovsfv|Most people use notes as a bucket for storage or scratch thoughts]]. These are very convenient to write, but after a year of writing such notes, they’ll just have a pile of dissociated notes. The notes won’t have *added up* to anything: they’re more like fuel, written and discarded to help the author process their ongoing experiences.

Fleeting notes are valuable scratchpads to temporarily support working memory, but [[ztn3g4wtm1hbknfuvlljpev|Knowledge work should accrete]], so we should view them as “messy-thought” inputs for the “neat-thought” notes they’ll inform (Khoe).

This is one reason why [[zdfv5gx8kksclke8dq1rfuk|Note-writing practices are generally ineffective]].

---

## References

Khoe, M.-L. (2016, December 21). Messy thought, neat thought. Retrieved September 17, 2019, from Khan Academy Early Product Development website: [https://klr.tumblr.com/post/154784481858/messy-thought-neat-thought](https://klr.tumblr.com/post/154784481858/messy-thought-neat-thought)
"
zaf4onsv9qb38ncsvyezgab,"Lots of people write about solutions to the problem that [[zdfv5gx8kksclke8dq1rfuk|Note-writing practices are generally ineffective]]. The vast majority of that writing fixates on a myopic, “lifehacking”-type frame, focused on answering questions like: “how should I organize my notes?”, “what kind of journal should I use?”, “how can I make it easy to capture snippets of things I read?”, etc.

Answers to these questions are unsatisfying because the questions are focused on the wrong thing. The goal is not to take notes—the goal is to think effectively. Better questions are “what practices can help me reliably develop insights over time?”, “how can I shepherd my attention effectively?” etc. This is the frame in which [[zr6rrbcfy5rfkiimfnajzkb|Evergreen note-writing as fundamental unit of knowledge work]] makes sense: [[z4exkuljdbrbze7pvagxc5a|Evergreen note-writing helps insight accumulate]].

In terms of technology, what matters is not “computer-support note-taking” but “computer supported thinking.”

It’s easy to focus on “note-taking” because it’s a visible component of an invisible practice: if you see someone insightful writing in their notebook, you might imagine that if you get the right notebook and organize it well, you’ll be insightful too. And of course, taking notes is tangible. It’s relatively easy, and it *feels* like doing something, even if it’s useless ([[zuhd6hb5dk35pppnchvd6bv|Note-writing practices provide weak feedback]]). So it’s an attractive nuisance.

[[z51q8prejzs5jqa5wpthyov|People who write extensively about note-writing rarely have a serious context of use]]

---

## References

Matuschak, A. (2019, December). *Taking knowledge work seriously*. Presented at the Stripe Convergence, San Francisco.

Conversation with Michael Nielsen, 2019-12-16

> computer supported thinking

A nice screed on this subject: [Notes Against Note-Taking Systems - by Sasha Chapin](https://sashachapin.substack.com/p/notes-against-note-taking-systems)
"
zr6rrbcfy5rfkiimfnajzkb,"If you had to set one metric to use as a leading indicator for yourself as a knowledge worker, the best I know might be the number of [[z5e5qawixcmbtntupvxeoex|Evergreen notes]] written per day. [[zugqaeggbjamsucbqerz9nt|Note-writing can be a virtuosic skill]], but [[znqv445uecylxvsrvgovsfv|Most people use notes as a bucket for storage or scratch thoughts]] and [[zdfv5gx8kksclke8dq1rfuk|Note-writing practices are generally ineffective]].

- [[z4exkuljdbrbze7pvagxc5a|Evergreen note-writing helps insight accumulate]]
- [[zkipfe1kyieeajs3ceactdf|Evergreen note-writing helps reading efforts accumulate]]
- Note-writing helps writing accumulate: these notes are the fuel for the [[zcknixwetdfm1mwdwpwmcxs|Executable strategy for writing]], particularly if you [[z79rmnnulruj6r8q1cxspdm|Create speculative outlines while you write]].

A caveat: [[zaf4onsv9qb38ncsvyezgab|“Better note-taking” misses the point; what matters is “better thinking”]]

---

## References

Ahrens, S. (2017). *How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers*.

> If writing is the medium of research and studying nothing else than research, then there is no reason not to work as if nothing else counts than writing.

> Focusing on writing as if nothing else counts does not necessarily mean you should do everything else less well, but it certainly makes you do everything else differently. Having a clear, tangible purpose when you attend a lecture, discussion or seminar will make you more engaged and sharpen your focus.

> Even if you decide never to write a single line of a manuscript, you will improve your reading, thinking and other intellectual skills just by doing everything *as if nothing counts other than writing*.
"
